2025-05-26 23:35:24 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-26 23:35:24 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-26 23:35:24 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-26 23:35:42 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-26 23:38:08 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-26 23:38:08 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-26 23:38:08 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-26 23:38:23 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-26 23:38:23 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-26 23:38:23 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-26 23:38:23 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-26 23:38:38 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 02:09:25 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 02:09:25 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 02:09:25 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 02:10:06 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 02:14:23 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 02:14:23 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 02:14:23 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 02:14:36 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 02:14:36 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 02:14:36 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 02:14:36 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 02:14:50 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 02:45:19 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 02:45:19 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 02:45:19 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 02:45:58 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 02:47:52 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 02:47:52 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 02:47:52 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 02:48:06 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 02:48:06 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 02:48:06 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 02:48:06 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 02:48:18 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:01:09 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:01:09 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:01:09 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:01:33 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:01:43 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:01:43 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:01:43 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
